company_name,role,contact_email,recruiter_name,job_description_summary
CGI Morocco,Big Data Engineer Intern,maroc.recrutement@cgi.com,Service RH CGI,"Building secure banking data pipelines, cloud migration strategy tasks, and automated script testing."
Sofrecom Morocco,Data Science PFA Intern,recrutement@sofrecom.com,Talent Acquisition,"Telecom structural analytics, user pattern evaluation algorithms, and machine learning pipelines."
IBM Morocco,Machine Learning Intern,maroc_recrutement@ma.ibm.com,IBM HR Team,"Watson model testing implementations, cloud native data infrastructure, and cognitive systems testing."
Oracle Labs Casablanca,AI Agent Developer Intern,oracle-casa-jobs@oracle.com,Oracle Labs HR,"Autonomous cloud database features, vector database testing, and semantic retrieval agents."
Dell Technologies Casa,Big Data Engineering Intern,careers.casablanca@dell.com,Dell Recruiting,"Hardware telemetry analytics pipelines, massive storage automation, and predictive diagnostic models."
Altran Capgemini Engineering,Data Scientist Intern,recrutement.maroc@altran.com,Equipe Engineering,"Automotive sensor data parsing, computer vision for smart machines, and signal analytics."
Viseo Casa,Big Data PFA Intern,recrutement-maroc@viseo.com,Service RH Viseo,"Salesforce analytics setups, cloud architecture implementations, and automated workflow triggers."
Sii Maroc,Data Science Intern,recrutement@sii.ma,Responsable RH,"Exploratory machine learning models, cleaning large enterprise structural files, and testing validation loops."
Econocom Morocco,Big Data Engineer Intern,recrutement.maroc@econocom.com,Talent Acquisition,"Infrastructure logs data ingestion pipelines, structural server automation, and system reporting dashboards."
Devoteam Morocco,AI & Automation Intern,recrutement@devoteam.ma,Equipe RH Devoteam,"Robotic process automation paired with LLMs, smart documentation classifiers, and text analysis tools."
HPS (High Tech Payment),Data Science Intern,recrutement@hps-worldwide.com,HPS Talent Team,"Electronic transactional data analytics, credit card fraud detection modeling, and behavioral analytics."
Intelcia IT Solutions,Big Data Analyst Intern,recrutement-it@intelcia.com,Responsable RH,"Call center log transcript mining, customer satisfaction classifiers, and automated call routing metrics."
Sopra Steria Morocco,Machine Learning Intern,recrutement.maroc@soprasteria.com,Service Recrutement,"Public sector database modernization, training regression models, and optimization testbeds."
Talan Morocco,Data Science PFA Intern,recrutement.maroc@talan.com,Talent Acquisition,"Financial asset risk assessment forecasting, analytical modeling, and time series algorithms."
Alten Delivery Center,Big Data Engineering Intern,recrutement.maroc@alten.com,Alten RH Team,"Industrial sensor telemetry processing, building scalable pipelines, and real-time diagnostics."
Capgemini TS,AI Agent Intern,recrutement.ts@capgemini.com,Direction RH,"Corporate chatbot agent orchestrations, intent classification setups, and systemic tooling connections."
BDK Morocco,Big Data Intern,contact@bdk.ma,Service Recruitment,"Cloud based data warehouse indexing, building clear semantic layers, and operational ETL structures."
Leyton Morocco,Data Analytics PFA Intern,recrutement@leyton.ma,Equipe RH Leyton,"Automated financial tax reporting extraction, data verification parsers, and machine learning models."
BizzTech Morocco,Machine Learning Intern,jobs@bizztech.com,Talent Manager,"E-commerce purchase recommenders, clickstream analysis parsing, and consumer clustering algorithms."
Webhelp Digital,Big Data Analyst Intern,recrutement@webhelp.com,Digital HR Team,"Omnichannel conversation analytics, intent text classifiers, and descriptive operational metrics."
Majorel (Foundever),Data Science Intern,recrutement@foundever.com,Talent Acquisition,"Predictive staff level analytics, workflow pattern optimization, and operations machine learning."
Sia Partners Casablanca,AI Strategy & Data Scientist Intern,casablanca@sia-partners.com,Responsable Recrutement,"Machine learning model prototyping, generative AI business transformation use cases, and predictive business analytics."
Deloitte Morocco,Data Analytics Intern,maroc-recrutement@deloitte.com,Deloitte RH,"Risk advisory data mining, transaction ledger anomaly detection, and operational dashboards."
EY Morocco (Ernst & Young),Big Data Intern,ey.maroc@ey.com,Talent Team EY,"Financial data cleansing loops, forensic analysis automated engines, and predictive cost algorithms."
PwC Morocco,Data Science PFA Intern,pwc.maroc@pwc.com,Recrutement PwC,"Market trend intelligence processing, unstructured text document categorization, and analytics strategies."
KPMG Morocco,Big Data Analyst Intern,kpmg.maroc@kpmg.com,Service Recrutement,"Internal corporate governance auditing software tracking, automated checking architectures, and analytical platforms."
McKinsey Digital Casa,AI Agent Developer Intern,casa_digital@mckinsey.com,McKinsey Digital Talent,"Enterprise digital engine construction, LangChain execution flows, and workflow planning agents."
BCG Casablanca,Data Science PFA Intern,bcg.casa-recruiting@bcg.com,BCG Gamma Team,"Advanced analytics strategy implementations, supply chain trajectory forecasting, and algorithm checks."
Mazenet Maroc,Big Data Engineer Intern,contact@mazenet.ma,Equipe RH,"Corporate storage indexing configurations, server monitoring data pipelines, and analytics testing."
Valyans Consulting,Data Analyst PFA Intern,recrutement@valyans.com,Responsable RH,"National macroeconomic indicators calculation, data modeling frameworks, and target tracking tools."
Chafchaouni Conseil,Data Science Intern,contact@chafchaouni.ma,Direction RH,"Agricultural yield estimation algorithms, satellite imagery geospatial data processing, and predictive models."
Attitudes Conseil,Big Data Analyst Intern,contact@attitudesconseil.com,Service Recrutement,"Consumer market sentiment classification, customer segmentation matrices, and dynamic BI reporting."
Adalia Maroc,Machine Learning Intern,careers@adalia.ma,Talent Acquisition,"Automated data labeling pipelines, validation accuracy checks, and descriptive web scrapers."
Nearshore Evolution,Big Data Intern,contact@nearshore.ma,Equipe RH,"Distributed cluster performance diagnostics, multi-tenant file ingestion, and monitoring scripts."
Aman Consulting,Data Science PFA Intern,jobs@aman.ma,Service RH,"Hydrological data tracking algorithms, predictive climate impacts, and GIS pipeline connections."
Finatech Group,Big Data Engineer Intern,recrutement@finatech.com,Finatech HR,"Smart grid telemetry pipelines, electrical load distribution models, and structural reporting."
InnoVerte,Machine Learning Intern,contact@innoverte.ma,Responsable Recrutement,"Renewable wind energy production engines, optimization parameters, and predictive component maintenance."
Novancy One,Data & AI Recruiter Intern,contact@novancy.com,Novancy Talent Team,"Parsing resume text algorithms, tracking applicant matches, and analytical recruitment tracking."
Smarter Morocco,AI Agent Intern,contact@smarter.ma,Service Recrutement,"Customer experience automated response loops, function call tooling setups, and agent validation."
DataInsight Partners,Data Science Intern,hr@datainsight.ma,Equipe RH,"Corporate credit scoring, alternative dataset features generation, and regression validation."
Axions IT,Big Data PFA Intern,contact@axions.ma,Service Talent,"Enterprise resource database connectors, ETL framework scaling, and performance indexing loops."
Omnidata,Data Science PFA Intern,recrutement@omnidata.ma,Omnidata HR,"Database analytics engineering, enterprise BI platform configurations, and algorithmic models."
Pharia Group,Machine Learning Intern,jobs@pharia.com,Talent Acquisition,"Healthcare claim classification engines, medical term entity extraction, and modeling pipelines."
Vneuron Morocco,Data Scientist PFA Intern,recrutement@vneuron.com,Vneuron RH,"Anti-money laundering entity graphs, real-time banking alert filters, and predictive networks."
Archos Technology,Big Data Engineer Intern,contact@archos.ma,Service RH,"Web log ingestion loops, elasticsearch indices configurations, and cluster performance testing."
Infomineo,Data Analytics PFA Intern,careers@infomineo.com,Human Resources,"Processing large analytical datasets using SQL and Snowflake data warehouses, data transformation, and visualization dashboards."
Attijariwafa Bank Lab,Data Science Intern,recrutement@attijariwafa.com,Direction Capital Humain,"Algorithmic credit worthiness evaluation, internal transaction data mining, and client retention forecasting."
BMCE Bank of Africa,Big Data Engineer Intern,recrutement@bankofafrica.ma,BOA HR Team,"Distributed financial data streaming architectures, database scaling checks, and ledger pipeline security."
BCP (Banque Populaire),Machine Learning Intern,recrutement@cpm.ma,BCP Recrutement,"ATM transactional optimization configurations, predictive cash flow analytics, and transaction classification models."
CIH Bank (Digital Division),AI Agent Engineering Intern,recrutement@cih.ma,CIH Digital Team,"Automated digital banking agent assistant processing, context memory logic, and intent parsers."
Crédit du Maroc,Data Analyst PFA Intern,recrutement@cdm.ma,Service Recrutement,"Mortgage risk classification profiles, branch volume pattern discovery, and structural reporting loops."
Maroc Telecom Lab,Big Data Engineering Intern,recrutement@iam.ma,Direction IAM,"Call detail record massive data pipelines, real-time user metrics collection, and cluster tuning."
inwi (Wana Corporate),Data Science Intern,recrutement@inwi.ma,Wana Talent Team,"Subscriber network churn hazard functions, dynamic pricing evaluation algorithms, and behavior models."
Orange Maroc,Machine Learning Intern,recrutement.maroc@orange.com,Orange HR Team,"Geospatial grid capacity traffic engines, customer application data mining, and predictive tools."
OCP Group (Digital Lab),Big Data PFA Intern,recrutement@ocpgroup.ma,OCP Digital Unit,"Phosphate mining yield analytics parameters, supply network tracking data, and predictive asset failures."
ONCF (Digital Division),Data Science Intern,recrutement@oncf.ma,ONCF RH Team,"Train track maintenance prediction pipelines, station passenger flow analysis, and scheduling models."
RAM (Royal Air Maroc),Big Data Analyst Intern,recrutement@royalairmaroc.com,RAM Human Resources,"Flight path luggage loading statistics trackers, ticket pricing optimization, and customer retention metrics."
Axa Services Maroc,Data Science PFA Intern,recrutement@axa.ma,Equipe Axa Services,"Insurance claim valuation engines, fraud flag automation logic, and customer demographic metrics."
Saham Assurance,Big Data Intern,recrutement@sahamassurance.com,Saham HR,"Automated vehicle damage image validation, policy assessment calculations, and enterprise pipelines."
Wafa Assurance,Machine Learning Intern,recrutement@wafaassurance.co.ma,Wafa Recrutement,"Actuarial trend forecasting algorithms, healthcare invoice extraction parsers, and statistical setups."
RMA Watanya,Data Analyst PFA Intern,recrutement@rma.ma,RMA Recrutement,"Portfolio performance calculations, risk modeling, and business intelligence layout structures."
CDG (Caisse de Dépôt),Big Data Engineer Intern,recrutement@cdg.ma,CDG HR Team,"National infrastructure project funding analytics, capital asset tracking tables, and data architectures."
BAM (Bank Al-Maghrib),Data Scientist Intern,recrutement@bkam.ma,Ressources Humaines BAM,"Macro-financial systemic hazard engines, currency transaction anomaly tracking, and econometric modeling."
Allianz Maroc,Machine Learning Intern,recrutement@allianz.ma,Allianz HR Team,"Commercial customer risk categorization maps, automatic claim routing logic, and metric evaluations."
Stellantis Casablanca,Data Science Intern,casablanca_recrutement@stellantis.com,Stellantis HR,"Vehicle diagnostic error code trackers, factory system assembly metrics, and time series algorithms."
Renault Maroc (Digital),Big Data Engineering Intern,recrutement.maroc@renault.com,Renault Digital Team,"Automated automotive supply routing schedules, component inventory analytics, and log pipelines."
Masen (Solar Energy),Data Science PFA Intern,careers@masen.ma,Masen HR Team,"Solar radiation intensity predictors, photovoltaic array degradation tracks, and generation metrics."
ONEE (Branche Electricité),Big Data Intern,recrutement@onee.ma,Service RH ONEE,"Regional grid power consumption tracking, high-voltage load predictors, and telemetry storage logic."
Comanov Maroc,Data Analyst PFA Intern,jobs@comanov.ma,Equipe Logistique,"Port shipping container transit durations track, customs clearance bottleneck analysis, and dashboard generation."
LabelVie Group,Data Science PFA Intern,recrutement@labelvie.ma,LabelVie Recruitment,"Supermarket product basket association charts, supply reorder indicators, and algorithmic client profiling."
Marjane Holding (Data),Big Data Engineer Intern,recrutement@marjane.co.ma,Marjane Data Lab,"Loyalty program transactions tracking loops, real-time storage inventory pipelines, and automated reporting systems."
